codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct
2927408,29,BA,Salvador,salvador,2020,2886698,0.499626263818409
2927408,29,BA,Salvador,salvador,2021,2900319,0.47185400066096506
3106200,31,MG,Belo Horizonte,belo horizonte,2016,2481675,
3106200,31,MG,Belo Horizonte,belo horizonte,2017,2491484,0.3952572355364836
3106200,31,MG,Belo Horizonte,belo horizonte,2018,2501576,0.4050597956880342
3106200,31,MG,Belo Horizonte,belo horizonte,2019,2512070,0.4194955500052666
3106200,31,MG,Belo Horizonte,belo horizonte,2020,2521564,0.3779353282352904
3106200,31,MG,Belo Horizonte,belo horizonte,2021,2530701,0.36235447523838005
3205309,32,ES,Vitoria,vitoria,2016,350568,
3205309,32,ES,Vitoria,vitoria,2017,354373,1.0853814381232674
3205309,32,ES,Vitoria,vitoria,2018,358267,1.0988421804144277
3205309,32,ES,Vitoria,vitoria,2019,362097,1.0690351051031666
3205309,32,ES,Vitoria,vitoria,2020,365855,1.0378434507880563
3205309,32,ES,Vitoria,vitoria,2021,369534,1.005589646171301
3304557,33,RJ,Rio de Janeiro,rio de janeiro,2016,6628326,
3304557,33,RJ,Rio de Janeiro,rio de janeiro,2017,6657944,0.44683982049162907
3304557,33,RJ,Rio de Janeiro,rio de janeiro,2018,6688927,0.4653538690021941
3304557,33,RJ,Rio de Janeiro,rio de janeiro,2019,6718903,0.44814362602552116
3304557,33,RJ,Rio de Janeiro,rio de janeiro,2020,6747815,0.430308340513319
3304557,33,RJ,Rio de Janeiro,rio de janeiro,2021,6775561,0.4111849539443435
3550308,35,SP,Sao Paulo,sao paulo,2016,12022916,
3550308,35,SP,Sao Paulo,sao paulo,2017,12099887,0.6402024267656792
3550308,35,SP,Sao Paulo,sao paulo,2018,12176866,0.6361960239793962
3550308,35,SP,Sao Paulo,sao paulo,2019,12252023,0.6172113579963945
3550308,35,SP,Sao Paulo,sao paulo,2020,12325232,0.597525812676003
3550308,35,SP,Sao Paulo,sao paulo,2021,12396372,0.5771899466070929
4106902,41,PR,Curitiba,curitiba,2016,1884840,
4106902,41,PR,Curitiba,curitiba,2017,1900892,0.8516372742513934
4106902,41,PR,Curitiba,curitiba,2018,1917185,0.8571239186655477
4106902,41,PR,Curitiba,curitiba,2019,1933105,0.8303841309002413
4106902,41,PR,Curitiba,curitiba,2020,1948626,0.8029051706968771
4106902,41,PR,Curitiba,curitiba,2021,1963726,0.7749049843325473
4205407,42,SC,Florianopolis,florianopolis,2016,476732,
4205407,42,SC,Florianopolis,florianopolis,2017,484852,1.703263049260384
4205407,42,SC,Florianopolis,florianopolis,2018,492977,1.6757691006740183
