codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct,ano_referencia_idhm,idhm,idhm_renda,idhm_educacao,idhm_longevidade,ideb,fluxo,aprendizado,nota_mt,nota_lp,crimes_total_indicadores,mortes_violentas_intencionais,homicidios_dolosos,feminicidios,estupros,furto_veiculos,taxa_crimes_100k,taxa_mortes_violentas_100k,taxa_homicidios_100k,taxa_feminicidios_100k,taxa_estupros_100k,taxa_furto_veiculos_100k,lag_1_taxa_crimes_100k,lag_1_taxa_mortes_violentas_100k,variacao_taxa_crimes_100k_pct,risco_indice
1100205,11,RO,Porto Velho,porto velho,2016,499293,,2010,0.736,0.764,0.638,0.819,,,,,,3882.0,191,173,0.0,382.0,1867.0,777.4993841291586,38.2540912850771,34.64899367705936,0.0,76.5081825701542,373.9287352316175,,,,0.4439547501079746
1100205,11,RO,Porto Velho,porto velho,2017,509323,2.008840500467657,2010,0.736,0.764,0.638,0.819,4.0,0.8735,4.5271,272.03,268.33,3857.0,158,152,0.0,355.0,1860.0,757.2797615658433,31.021571772725753,29.843537401609588,0.0,69.7003669577066,365.19065504601207,777.4993841291586,38.2540912850771,-2.600596601881855,0.38173260439367035
1100205,11,RO,Porto Velho,porto velho,2018,519531,2.004229143392311,2010,0.736,0.764,0.638,0.819,,,,,,3863.0,160,152,4.0,355.0,1860.0,743.5552450190653,30.797007300815544,29.257156935774766,0.7699251825203886,68.33085994868449,358.0152098719807,757.2797615658433,31.021571772725753,-1.8123442937917011,0.4608603226433497
1100205,11,RO,Porto Velho,porto velho,2019,529544,1.927315213144154,2010,0.736,0.764,0.638,0.819,4.3,0.8947,4.7708,278.81,278.25,4406.0,119,105,1.0,345.0,1991.0,832.0366201864244,22.47216473040956,19.828380644479022,0.18884172042360975,65.15039354614537,375.983865363407,743.5552450190653,30.797007300815544,11.899771504549129,0.32539163715251007
1100205,11,RO,Porto Velho,porto velho,2020,539354,1.8525372773556148,2010,0.736,0.764,0.638,0.819,,,,,,468.0,161,141,5.0,285.0,0.0,86.77046985838614,29.85052488717985,26.14238514964198,0.9270349343844674,52.84099125991464,0.0,832.0366201864244,22.47216473040956,-89.57131600302105,0.4163157964149485
1100205,11,RO,Porto Velho,porto velho,2021,548952,1.7795362600444342,2010,0.736,0.764,0.638,0.819,4.1,0.8986,4.5287,267.67,272.53,456.0,178,161,3.0,264.0,0.0,83.0673720106676,32.425421530479895,29.328611609029572,0.5464958684912342,48.091636427228615,0.0,86.77046985838614,29.85052488717985,-4.267693667859795,0.37857702984523695
1200401,12,AC,Rio Branco,rio branco,2016,388932,,2010,0.727,0.729,0.661,0.798,,,,,,351.0,233,226,0.0,111.0,0.0,90.24713831723797,59.90764452397848,58.107844044717325,0.0,28.539693313998335,0.0,,,,0.4483006190573985
1200401,12,AC,Rio Branco,rio branco,2017,394924,1.5406292102475572,2010,0.727,0.729,0.661,0.798,3.8,0.877,4.3461,263.28,264.45,361.0,321,308,0.0,27.0,0.0,91.40999280874296,81.28146174960246,77.9896891553818,0.0,6.836758464919832,0.0,90.24713831723797,59.90764452397848,1.2885222880057556,0.5213009441857994
1200401,12,AC,Rio Branco,rio branco,2018,401155,1.5777719257376033,2010,0.727,0.729,0.661,0.798,,,,,,289.0,227,218,5.0,48.0,0.0,72.04197878625469,56.58660617467064,54.34308434395682,1.2464010170632298,11.965449763807008,0.0,91.40999280874296,81.28146174960246,-21.188070830518434,0.5119875075201659
1200401,12,AC,Rio Branco,rio branco,2019,407319,1.536563173835548,2010,0.727,0.729,0.661,0.798,3.9,0.8622,4.5578,270.18,272.12,1618.0,175,171,4.0,182.0,515.0,397.2316538143323,42.9638686140347,41.98183733142819,0.9820312826065074,44.68242335859609,126.43652763558782,72.04197878625469,56.58660617467064,451.3891490861193,0.49577375413169417
1200401,12,AC,Rio Branco,rio branco,2020,413418,1.497352198154278,2010,0.727,0.729,0.661,0.798,,,,,,1451.0,184,176,7.0,184.0,270.0,350.9764935247135,44.50701227329241,42.57192478314926,1.6932015538752545,44.50701227329241,65.30920279233125,397.2316538143323,42.9638686140347,-11.644379254639825,0.5820769144136093
1200401,12,AC,Rio Branco,rio branco,2021,419452,1.459539739440463,2010,0.727,0.729,0.661,0.798,4.0,0.8675,4.6031,269.13,276.13,1414.0,97,92,4.0,213.0,303.0,337.10651039928285,23.125411250870183,21.93337974309337,0.9536252062214509,50.78054223129225,72.2371093712749,350.9764935247135,44.50701227329241,-3.9518267978975063,0.3756242642306279
1302603,13,AM,Manaus,manaus,2016,2070529,,2010,0.737,0.738,0.658,0.826,,,,,,8149.0,961,801,0.0,783.0,2693.0,393.57091834985164,46.41325960660295,38.685765811538985,0.0,37.81642275959429,130.06337993817039,,,,0.36493777087844326
