codigo_municipio,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_feminicidio,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_furto_veiculos,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_estupro,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_policiais_confronto,quantidade_posse_uso_entorpecente,quantidade_mortes_violentas_intencionais,quantidade_morte_policiais_militares_fora_de_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_latrocinio,quantidade_porte_ilegal_arma_de_fogo,quantidade_mortes_intervencao_policial,quantidade_roubo_furto_veiculos,quantidade_posse_ilegal_arma_de_fogo,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_trafico_entorpecente,quantidade_roubo_veiculos,quantidade_lesao_corporal_morte,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_homicidio_doloso,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais
3550308,SP,São Paulo,sao paulo,2016,16.0,0.0,147.0,44668.0,6.0,2316.0,3.0,269.0,33.0,0.0,1450,19.0,3.0,116,0.0,438.0,82830.0,0.0,0.0,0.0,38162.0,9.0,8.0,0.0,887,30.0
5002704,MS,Campo Grande,campo grande,2016,0.0,0.0,0.0,2047.0,0.0,538.0,0.0,14.0,0.0,0.0,162,0.0,0.0,13,0.0,14.0,2564.0,0.0,0.0,0.0,517.0,0.0,0.0,0.0,149,8.0
1100205,RO,Porto Velho,porto velho,2016,0.0,0.0,3.0,1867.0,0.0,382.0,0.0,3.0,0.0,0.0,191,0.0,0.0,17,0.0,6.0,3291.0,0.0,0.0,0.0,1424.0,1.0,0.0,0.0,173,3.0
2800308,SE,Aracaju,aracaju,2016,0.0,0.0,0.0,533.0,0.0,95.0,0.0,0.0,4.0,0.0,449,3.0,1.0,14,0.0,21.0,1512.0,0.0,0.0,0.0,979.0,0.0,0.0,0.0,414,4.0
1400100,RR,Boa Vista,boa vista,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51,
1721000,TO,Palmas,palmas,2016,0.0,0.0,0.0,1431.0,0.0,66.0,0.0,0.0,0.0,0.0,93,0.0,0.0,0,0.0,0.0,1651.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,93,0.0
2704302,AL,Maceió,maceio,2017,0.0,0.0,3.0,515.0,2.0,185.0,0.0,52.0,0.0,0.0,665,0.0,0.0,15,0.0,57.0,1572.0,0.0,0.0,0.0,1057.0,3.0,0.0,0.0,590,8.0
2304400,CE,Fortaleza,fortaleza,2017,3.0,0.0,13.0,2734.0,4.0,504.0,0.0,30.0,18.0,0.0,2029,16.0,1.0,29,0.0,50.0,9265.0,0.0,0.0,0.0,6531.0,18.0,1.0,0.0,1932,2.0
3205309,ES,Vitória,vitoria,2017,0.0,0.0,1.0,816.0,0.0,29.0,0.0,4.0,0.0,0.0,93,0.0,0.0,2,0.0,5.0,1445.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,86,5.0
5208707,GO,Goiânia,goiania,2017,0.0,0.0,12.0,3634.0,0.0,117.0,0.0,93.0,2.0,0.0,565,2.0,0.0,17,0.0,105.0,9269.0,0.0,0.0,0.0,5635.0,5.0,0.0,0.0,438,18.0
2111300,MA,São Luís,sao luis,2017,0.0,0.0,0.0,539.0,0.0,272.0,0.0,34.0,0.0,0.0,473,0.0,0.0,17,0.0,34.0,1596.0,0.0,0.0,0.0,1057.0,19.0,0.0,0.0,403,7.0
5103403,MT,Cuiabá,cuiaba,2017,0.0,0.0,0.0,926.0,0.0,320.0,0.0,11.0,3.0,0.0,153,3.0,0.0,11,0.0,11.0,2122.0,0.0,0.0,0.0,1196.0,0.0,0.0,0.0,142,7.0
1501402,PA,Belém,belem,2017,0.0,0.0,6.0,1356.0,4.0,573.0,0.0,44.0,8.0,0.0,989,3.0,3.0,45,0.0,54.0,3537.0,0.0,0.0,0.0,2181.0,15.0,2.0,0.0,875,5.0
2507507,PB,João Pessoa,joao pessoa,2017,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,298,0.0,0.0,9,0.0,0.0,744.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,287,
