ibge_id;dependencia_id;ciclo_id;ano;ideb;fluxo;aprendizado;nota_mt;nota_lp
11;0;EM;2023;4,2;0,93;4,51;267,75;271,41
11;2;EM;2023;4;0,91;4,43;264,91;268,64
11;4;EM;2023;5,5;0,96;5,68;308,71;311,26
12;0;EM;2023;4;0,89;4,53;267,68;272,52
12;2;EM;2023;3,9;0,88;4,43;264,15;269,17
12;4;EM;2023;5,6;0,97;5,82;314,06;315,4
13;0;EM;2023;3,8;0,9;4,26;258,15;263,69
13;2;EM;2023;3,7;0,89;4,19;255,53;261,16
13;4;EM;2023;5,3;0,97;5,42;297,66;303,9
14;0;EM;2023;3,5;0,83;4,24;259,14;261,09
14;2;EM;2023;3,6;0,88;4,13;255,63;257,07
14;4;EM;2023;5,3;0,97;5,46;299,21;305,17
15;0;EM;2023;4,4;0,99;4,5;265,4;272,58
15;2;EM;2023;4,3;0,99;4,31;258,87;266,47
15;4;EM;2023;5,5;0,98;5,59;304,17;308,93
16;0;EM;2023;3,8;0,87;4,35;258,78;268,98
16;2;EM;2023;3,6;0,85;4,23;254,36;264,77
16;4;EM;2023;5,4;0,98;5,45;297,46;305,84
17;0;EM;2023;4,2;0,96;4,42;265,38;267,51
17;2;EM;2023;4,1;0,96;4,31;261,29;263,7
17;4;EM;2023;5,9;0,98;6;321,87;320,13
21;0;EM;2023;3,8;0,93;4,15;255,28;258,53
21;2;EM;2023;3,7;0,92;4,03;251,07;254,65
21;4;EM;2023;5,3;0,93;5,73;312,19;310,96
22;0;EM;2023;4,5;0,97;4,67;275,37;274,57
22;2;EM;2023;4,3;0,97;4,42;266,6;266,42
22;4;EM;2023;5,9;0,97;6,12;327,39;322,68
23;0;EM;2023;4,3;0,95;4,6;271,1;273,77
23;2;EM;2023;4,4;0,98;4,45;265,61;268,9
23;4;EM;2023;5,7;0,98;5,79;314,49;312,57
24;0;EM;2023;3,7;0,83;4,4;263,79;267,52
24;2;EM;2023;3,2;0,77;4,11;253,69;257,71
24;4;EM;2023;5,5;0,97;5,65;307,48;309,96
25;0;EM;2023;4;0,88;4,52;268,1;271,78
25;2;EM;2023;3,6;0,84;4,29;259,13;264,57
25;4;EM;2023;5,2;0,96;5,45;303,67;300,44
26;0;EM;2023;4,5;0,93;4,82;279,29;280,92
26;2;EM;2023;4,5;0,96;4,68;274,1;276,93
26;4;EM;2023;5,5;0,98;5,64;311,61;305,65
27;0;EM;2023;4,1;0,93;4,36;264,49;264,5
27;2;EM;2023;4;0,95;4,21;258,99;259,09
27;4;EM;2023;5;0,97;5,15;291,84;291,4
28;0;EM;2023;4;0,9;4,43;265,3;267,9
28;2;EM;2023;3,7;0,89;4,2;257,32;260,3
28;4;EM;2023;5,4;0,98;5,51;303,75;304,47
29;0;EM;2023;3,9;0,92;4,26;260,13;261,78
29;2;EM;2023;3,7;0,91;4,01;250,97;253,68
29;4;EM;2023;5,7;0,97;5,93;321,14;315,66
31;0;EM;2023;4,2;0,87;4,81;279,65;280,04
31;2;EM;2023;4;0,87;4,56;269,43;273,25
31;4;EM;2023;5,4;0,85;6,37;345,11;323,17
32;0;EM;2023;3,7;0,84;4,46;265,04;270,47
32;2;EM;2023;3,3;0,81;4,1;252,19;258,09
32;4;EM;2023;5,1;0,92;5,53;302,3;307,14
35;0;EM;2023;4,5;0,95;4,79;275,51;282,89
35;2;EM;2023;4,2;0,92;4,51;264,66;274,43
35;4;EM;2023;5,9;0,98;5,98;321,53;318,84
41;0;EM;2023;4,9;0,97;5;283,89;288,8
41;2;EM;2023;4,7;0,97;4,86;278,04;284,82
41;4;EM;2023;5,9;0,99;6,03;326,28;317,75
42;0;EM;2023;4,2;0,86;4,85;280,42;282,19
42;2;EM;2023;3,8;0,83;4,59;270,55;274,21
42;4;EM;2023;6;0,98;6,14;329,57;321,87
43;0;EM;2023;4,2;0,84;4,92;281,17;286,15
43;2;EM;2023;3,9;0,82;4,74;273,7;281,07
43;4;EM;2023;5,7;0,97;5,84;319,08;312,1
50;0;EM;2023;4;0,86;4,65;273,13;275,76
50;2;EM;2023;3,8;0,85;4,46;265,27;270,01
50;4;EM;2023;5,9;0,98;6,01;327,35;315,47
51;0;EM;2023;4,4;0,97;4,52;267,77;271,56
51;2;EM;2023;4,2;0,97;4,34;261,25;266,18
51;4;EM;2023;5,7;0,98;5,75;314,64;310,11
52;0;EM;2023;4,8;0,96;4,99;284,64;287,46
52;2;EM;2023;4,8;0,99;4,88;280,06;284,54
52;4;EM;2023;5,4;0,98;5,56;308,81;302,68
53;0;EM;2023;4,2;0,87;4,86;280,82;282,05
53;2;EM;2023;3,7;0,84;4,4;262,61;268,94
53;4;EM;2023;5,9;0,97;6,11;330,93;318,82
